DeployID,County,DeployDate,DeploymentName,Description,PrimaryMaterial,Tons,Relief,Depth,Jurisdiction,Coast,LatDM,LongDM,latitudes,longitudes,LocationAccuracy
BA0276,Bay,04/06/2013,MB-40 Miss Birdies Reef,1 Walter Limestone Unit    3 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,61,State,Gulf,29° 54.117' N,85° 32.403' W,29.90195,-85.54005,High
BA0275,Bay,04/06/2013,MB-49 Unnamed,1 Walter Limestone Unit    2 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,65,State,Gulf,29° 53.549' N,85° 32.412' W,29.89248333,-85.5402,High
BA0274,Bay,04/06/2013,MB-56 Willie Krause Reef  ,1 Walter Limestone Unit    1 of 15 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,69,State,Gulf,29° 53.133' N,85° 32.932' W,29.88555,-85.54886667,High
BA0273,Bay,08/12/2012,MB-141 John Thompson Reef,3 Walter  5 Disks Ecosystem Reefs On Pilings ,MODULES CONCRETE WALTER ECOSYSTEM ON PILINGS(3),6,5,22,State,Gulf,29° 54.168' N,85° 27.972' W,29.9028,-85.4662,High
BA0272,Bay,08/09/2012,Dupont Modules #10,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units 10 of 10 Drops This Grant Also 8/10/2012,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.509' N,85° 50.700' W,29.97515,-85.845,High
BA0271,Bay,08/09/2012,Dupont Modules #9,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  9 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.664' N,85° 50.432' W,29.97773333,-85.84053,High
BA0270,Bay,08/09/2012,Dupont Modules #8,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  8 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.906' N,85° 50.706' W,29.98177,-85.8451,High
BA0269,Bay,08/09/2012,Dupont Modules #7,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  7 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.667' N,85° 50.872' W,29.97778333,-85.84787,High
BA0268,Bay,08/09/2012,Dupont Modules #6,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  6 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.781' N,85° 50.534' W,29.97968,-85.84223,High
BA0267,Bay,08/09/2012,Dupont Modules #5,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  5 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.776' N,85° 50.697' W,29.9796,-85.84495,High
BA0266,Bay,08/09/2012,Dupont Modules #4,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  4 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.775' N,85° 50.857' W,29.97958,-85.84762,High
BA0265,Bay,08/09/2012,Dupont Modules #3,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  3 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.782' N,85° 51.006' W,29.9797,-85.8501,High
BA0264,Bay,08/09/2012,Dupont Modules #2,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  2 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.918' N,85° 50.519' W,29.98196667,-85.84198,High
BA0263,Bay,08/09/2012,Dupont Modules #1,2 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units  1 of 10 Drops This Grant,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,91,Federal,Gulf,29° 58.917' N,85° 50.851' W,29.98195,-85.84752,High
BA0262,Bay,04/06/2012,John Thompson Memorial Reef,12 Walter Limestone Units  2 Grouper Units And 4 Lindberg Cubes  Also Drops On 4/4/2012,MODULES CONCRETE WALTER FLORIDA LIMESTONE (12),36,8,22,State,Gulf,29° 54.168' N,85° 27.972' W,29.9028,-85.4662,High
BA0261,Bay,04/06/2012,Aida Gonzales Memorial Reef,5 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),17,8,94,Federal,Gulf,29° 46.321' N,85° 41.704' W,29.77201667,-85.69506667,High
BA0260,Bay,04/06/2012,MB 138,5 Walter Limestone Units 1 Ecosystem Reef On Base & 1 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),17,8,84,Federal,Gulf,29° 45.661' N,85° 35.930' W,29.76101667,-85.59883333,High
BA0259,Bay,04/06/2012,MB 137,1 Walter Limestone Units  2 Ecosystem Reef On Base & 1 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),9,8,69,State,Gulf,29° 43.258' N,85° 29.002' W,29.72096667,-85.48336667,High
BA0258,Bay,04/06/2012,MB 136,1 Walter Limestone Units  1 Ecosystem Reef On Base & 1 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),7,8,69,State,Gulf,29° 43.444' N,85° 29.143' W,29.72406667,-85.48571667,High
BA0257,Bay,04/04/2012,John And Darlene Cox Memorial Reef,1 Walter Limestone Units-Mb #140,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,22,State,Gulf,29° 54.260' N,85° 27.704' W,29.90433333,-85.46173333,High
BA0256,Bay,04/04/2012,MB 135,3 Walter Limestone Units  And 1 Grouper Unit,MODULES CONCRETE WALTER FLORIDA LIMESTONE (3),10,8,60,State,Gulf,29° 43.514' N,85° 28.498' W,29.72523333,-85.47496667,High
BA0255,Bay,04/04/2012,MB 134,2 Walter Limestone Units  And 1 Ecosystem Reef On Base ,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),7,8,65,State,Gulf,29° 43.594' N,85° 28.809' W,29.72656667,-85.48015,High
BA0254,Bay,04/04/2012,MB 133,2 Walter Limestone Units  1 Ecosystem Reef On Base & 1 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,70,State,Gulf,29° 43.717' N,85° 29.394' W,29.72861667,-85.4899,High
BA0253,Bay,04/04/2012,MB 132,2 Walter Limestone Units  1 Ecosystem Reef On Base & 1 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),9,8,65,State,Gulf,29° 43.906' N,85° 29.051' W,29.73176667,-85.48418333,High
BA0252,Bay,04/04/2012,MB 131 ,5 Walter Limestone Units  1 Ecosystem Reef On Base & 1 Grouper Units,BARGE METAL 125',17,8,66,State,Gulf,29° 44.124' N,85° 29.022' W,29.7354,-85.4837,High
BA0252,Bay,04/04/2012,MB 131 ,Steel Barge 125' Long X 32' W X 8' Tall,BARGE METAL 125',,8,64,State,Gulf,29° 53.513' N,85° 32.390' W,29.89188,-85.53983,High
BA0251,Bay,05/05/2011,MB 130 -Set 13,3 Walter Limestone Units  1 Ecosystem Reef On Base & 1 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (3),14,8,87,Federal,Gulf,29° 47.187' N,85° 41.758' W,29.78645,-85.69596667,High
BA0250,Bay,05/05/2011,Tennessee Chuck Mckibbon Reef (Mb 129),1 Walter Limestone Units  1 Ecosystem Reef On Base & 3 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),13,8,58,State,Gulf,29° 55.222' N,85° 32.558' W,29.92036667,-85.54263333,High
BA0249,Bay,05/05/2011,MB 128 -Set 8,4 Walter Limestone Units And 1 Ecosystem Reef On Base,MODULES CONCRETE WALTER FLORIDA LIMESTONE (4),14,8,58,State,Gulf,29° 55.063' N,85° 32.577' W,29.91771667,-85.54295,High
BA0248,Bay,05/05/2011,MB 127 -Set 5,5 Walter Limestone Units And 1 Ecosystem Reef On Base,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),17,8,58,State,Gulf,29° 54.549' N,85° 32.638' W,29.90915,-85.54396667,High
BA0247,Bay,05/05/2011,MB 126 -Set4,5 Walter Limestone Units And 3 Ecosystem Reef On Base,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),22,8,61,State,Gulf,29° 54.250' N,85° 32.690' W,29.90416667,-85.54483333,High
BA0245,Bay,03/09/2011,MB 125,47 Ft Long X 14 Ft Wide X 10 Ft Tall Ferro-Cement Sailboat-Funded By Mbara,VESSEL FERRO-CEMENT SAILBOAT 47',9,8,61,State,Gulf,29° 54.385' N,85° 32.405' W,29.90642,-85.54008,High
BA0244,Bay,09/28/2010,Mb 123,2 Walter Limestone Units On 5/5/2011 And 2 Walter Limestone &1 Ecosystem On 9/28/2011,MODULES CONCRETE WALTER FLORIDA LIMESTONE (4),14,8,56,State,Gulf,29° 55.253' N,85° 32.362' W,29.92088333,-85.53936667,High
BA0243,Bay,09/28/2010,Mb 124,8 Walter Limestone Units 2 Ecosystem Reef On Base & 3 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (8),33,8,58,State,Gulf,29° 55.438' N,85° 32.542' W,29.92396667,-85.54236667,High
BA0242,Bay,09/28/2010,Mexico Beach Memorial Reef,8 Walter Limestone Units And 1 Ecosystem Reef On Base,MODULES CONCRETE WALTER FLORIDA LIMESTONE (8),23,8,59,State,Gulf,29° 54.567' N,85° 32.360' W,29.90945,-85.53933333,High
BA0241,Bay,09/28/2010,Stewart Unkles Jr. Memorial Reef,1 Walter Florida Special Steel Unit As A Memorial Reef,MODULES CONCRETE WALTER FLORIDA SPECIAL METAL (1),3,10,61,State,Gulf,29° 54.720' N,85° 32.602' W,29.912,-85.54336667,High
BA0240,Bay,09/28/2010,Hannon Smith Memorial Reef,1 Walter Limestone Unit As A Memorial Reef,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,60,State,Gulf,29° 54.578' N,85° 32.339' W,29.90963333,-85.53898333,High
BA0239,Bay,09/28/2010,Drew's Reef,1 Walter Limestone Unit As A Memorial Reef,MODULES CONCRETE WALTER FLORIDA LIMESTONE (1),3,8,61,State,Gulf,29° 54.577' N,85° 32.376' W,29.90961667,-85.5396,High
BA0238,Bay,06/19/2009,2009-8,4 Walter Limestone Units And 2 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (4),16,12,93,Federal,Gulf,29° 43.496' N,85° 40.487' W,29.72493333,-85.67478333,High
BA0237,Bay,06/19/2009,2009-7,2 Walter Limestone Units And 3 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),12,12,102,Federal,Gulf,29° 44.032' N,85° 42.689' W,29.73386667,-85.71148333,High
BA0236,Bay,06/19/2009,2009-6,2 Walter Limestone Units And 2 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (2),10,12,102,Federal,Gulf,29° 44.515' N,85° 42.705' W,29.74191667,-85.71175,High
BA0235,Bay,06/19/2009,2009-5,3 Walter Limestone Units And 2 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (3),13,12,82,Federal,Gulf,29° 46.740' N,85° 41.608' W,29.779,-85.69346667,High
BA0234,Bay,06/19/2009,2009-4,3 Walter Limestone Units And 2 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (3),13,12,95,Federal,Gulf,29° 46.270' N,85° 42.154' W,29.77116667,-85.70256667,High
BA0233,Bay,06/19/2009,2009-3,5 Walter Limestone Units And 5 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),25,12,85,Federal,Gulf,29° 46.563' N,85° 35.867' W,29.77605,-85.59778333,High
BA0232,Bay,06/19/2009,2009-2,5 Walter Limestone Units And 5 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),25,12,60,State,Gulf,29° 43.695' N,85° 28.275' W,29.72825,-85.47125,High
BA0231,Bay,06/19/2009,2009-1,5 Walter Limestone Units And 5 Grouper Units,MODULES CONCRETE WALTER FLORIDA LIMESTONE (5),25,12,60,State,Gulf,29° 44.184' N,85° 28.309' W,29.7364,-85.47181667,High
BA0230,Bay,06/24/2009,Red Sea Tugboat,"125 Feet Long Steel Hulled Ocean Tugboat  The ""Red Sea""",VESSEL METAL 125'  TUGBOAT ,,36,74,State,Gulf,30° 0.958' N,85° 42.003' W,30.01597,-85.70005,High
BA0229,Bay,02/06/2009,Dupont Bridge Rubble #1,Concrete Plings  Bent Caps And Rubble,CONCRETE SLABS AND RUBBLE,750,10,95,Federal,Gulf,29° 58.719' N,85° 50.713' W,29.97865,-85.84522,High
BA0228,Bay,12/19/2008,Dupont Bridge Span #3,Large Intact Bridge Span 180'L X 25'W X 35'H-Funded By FDOT  3 of 3 Spans ,BRIDGE  SPANS  METAL,375,35,90,Federal,Gulf,29° 58.518' N,85° 50.499' W,29.9753,-85.84165,High
BA0227,Bay,12/16/2008,Dupont Bridge Span #2,Large Intact Bridge Span 180'L X 25'W X 35'H-Funded By FDOT  2 of 3 Spans,BRIDGE  SPANS  METAL,375,35,90,Federal,Gulf,29° 58.506' N,85° 50.863' W,29.9751,-85.84772,High
